Categoria;Categoriacomun
Otras ocupaciones - Operadores y operadoras de maquinas herramientas;Operarios y no Profesionales
Otras ocupaciones - Profesionales de nivel medio de servicios administrativos y afines;Operarios y no Profesionales
Otras ocupaciones - Vendedores y vendedoras de tiendas y almacenes;Ventas / Comercial
Otras ocupaciones;Operarios y no Profesionales
Panaderos y panaderas pasteleros y pasteleras - Cocineros y cocineras;Operarios y no Profesionales
Panaderos y panaderas pasteleros y pasteleras - Otras ocupaciones;Operarios y no Profesionales
Panaderos y panaderas pasteleros y pasteleras;Operarios y no Profesionales
Peluqueros y peluqueras especialistas en tratamientos de belleza y afines;Operarios y no Profesionales
Perforadores y sondistas de pozos y afines;Operarios y no Profesionales
Personal de enfermeria de nivel medio - Ayudantes de enfermeria en instituciones;Medicina / Salud
Personal de enfermeria de nivel medio - Otras ocupaciones;Medicina / Salud
Personal de enfermeria de nivel medio - Personal de enfermeria de nivel superior;Medicina / Salud
Personal de enfermeria de nivel medio;Medicina / Salud
Personal de enfermeria de nivel superior - Ayudantes de enfermeria en instituciones;Medicina / Salud
Personal de enfermeria de nivel superior - Medicos;Medicina / Salud
Personal de enfermeria de nivel superior - Personal de enfermeria de nivel medio;Medicina / Salud
Personal de enfermeria de nivel superior;Medicina / Salud
Personal domestico - Limpiadores y limpiadoras de establecimientos;Servicios Domesticos
Personal domestico - Otras ocupaciones;Servicios Domesticos
Personal domestico;Servicios Domesticos
Pescadores y pescadoras de agua dulce y en aguas costeras - Pescadores de alta mar;Operarios y no Profesionales
Pintores y pintoras empapeladores murales - Carpinteros y carpinteras de armar y de blanco;Operarios y no Profesionales
Pintores y pintoras empapeladores murales - Obreros y obreras de la construccion de edificios;Operarios y no Profesionales
Pintores y pintoras empapeladores murales;Operarios y no Profesionales
Prevencionista de riesgo - Inspectores de seguridad y salud y control de calidad;Seguridad
Prevencionista de riesgo - Otras ocupaciones;Operarios y no Profesionales
Prevencionista de riesgo - Supervisores de la construccion;Operarios y no Profesionales
Prevencionista de riesgo;Profesionales y Tecnicos
Profesionales de las ciencias y de la ingenieria - Ingenieros e ingenieras civiles;Profesionales y Tecnicos
Profesionales de las ciencias y de la ingenieria - Tecnicos en ingenieria civil;Profesionales y Tecnicos
Profesionales de las ciencias y de la ingenieria;Profesionales y Tecnicos
Profesionales de las ventas la comercializacion y las relaciones publicas - Gerentes de comercios mayoristas y minoristas;Ventas / Comercial
Profesionales de las ventas la comercializacion y las relaciones publicas - Representantes comerciales y tecnicos de ventas;Ventas / Comercial
Profesionales de las ventas la comercializacion y las relaciones publicas;Ventas / Comercial
Profesionales de nivel medio de servicios administrativos y afines - Asistentes administrativos de registros financieros, de costos y salarios;Administracion
Profesionales de nivel medio de servicios administrativos y afines - Contadores y contadoras;Administracion
Profesionales de nivel medio de servicios administrativos y afines - Empleados y empleadas de servicios de apoyo a la produccion;Administracion
Profesionales de nivel medio de servicios administrativos y afines - Secretarios administrativos;Administracion
Profesionales de nivel medio de servicios administrativos y afines;Administracion
Profesionales de nivel medio del derecho y servicios legales o afines;Profesionales y Tecnicos
Profesionales de tecnologia de la informacion - Desarrolladores y analistas de sistemas informáticos;Informatica / Telecomunicaciones
Profesionales de tecnologia de la informacion - Desarrolladores y analistas de sistemas informÃ¡ticos;Informatica / Telecomunicaciones
Profesionales de tecnologia de la informacion;Informatica / Telecomunicaciones
Profesionales en redes de computadores - Tecnicos en programacion informatica;Informatica / Telecomunicaciones
Profesionales en redes de computadores;Informatica / Telecomunicaciones
Profesores de la enseÃ±anza secundaria;Educacion y Psicopedagogia
Profesores de la enseñanza secundaria;Educacion y Psicopedagogia
Profesores de universidades y otros establecimientos de la enseÃ±anza superior;Educacion y Psicopedagogia
Profesores de universidades y otros establecimientos de la enseñanza superior;Educacion y Psicopedagogia
Profesores e instructores de nivel superior de la enseÃ±anza especial - Especialistas en metodos pedagogicos y material didactico;Educacion y Psicopedagogia
Profesores e instructores de nivel superior de la enseÃ±anza especial;Educacion y Psicopedagogia
Profesores e instructores de nivel superior de la enseñanza especial - Especialistas en metodos pedagogicos y material didactico;Educacion y Psicopedagogia
Profesores e instructores de nivel superior de la enseñanza especial;Educacion y Psicopedagogia
Profesores y profesoras de educacion basica;Educacion y Psicopedagogia
Programadores informaticos - Desarrolladores y analistas de sistemas informáticos;Informatica / Telecomunicaciones
Programadores informaticos - Desarrolladores y analistas de sistemas informÃ¡ticos;Informatica / Telecomunicaciones
Programadores informaticos;Informatica / Telecomunicaciones
Psicologos y psicologas - Ingenieros e ingenieras civiles;Medicina / Salud
Psicologos y psicologas - Otras ocupaciones;Medicina / Salud
Psicologos y psicologas - Trabajador y trabajadora social;Medicina / Salud
Psicologos y psicologas;Medicina / Salud
Quimica y Farmacia;Medicina / Salud
Quimicos y quimicas;Medicina / Salud
Recepcionistas;Recepción / Secretaria
Recolectores de dinero en aparatos de venta automatica lectores de medidores y afines;Operarios y no Profesionales
Reponedores de estanterias - Empleados y empleadas de control de abastecimientos e inventario;Asistente administrativo
Reponedores de estanterias - Vendedores y vendedoras de tiendas y almacenes;Ventas / Comercial
Reponedores de estanterias;Asistente administrativo
Representantes comerciales y tecnicos de ventas - Agentes inmobiliarios;Ventas / Comercial
Representantes comerciales y tecnicos de ventas - Ingenieros e ingenieras mecanicas;Ventas / Comercial
Representantes comerciales y tecnicos de ventas - Prevencionista de riesgo;Ventas / Comercial
Representantes comerciales y tecnicos de ventas - Profesionales de las ventas la comercializacion y las relaciones publicas;Ventas / Comercial
Representantes comerciales y tecnicos de ventas - Tecnicos en ingenieria civil;Ventas / Comercial
Representantes comerciales y tecnicos de ventas - Vendedores y vendedoras a domicilio y por telefono;Ventas / Comercial
Representantes comerciales y tecnicos de ventas - Vendedores y vendedoras de tiendas y almacenes;Ventas / Comercial
Representantes comerciales y tecnicos de ventas;Ventas / Comercial
Sastres modistos y modistas sombrereros y sombrereras;Operarios y no Profesionales
Secretarios administrativos - Analista de control y gestiÃ³n de procesos;Asistente administrativo
Secretarios administrativos - Analista de control y gestión de procesos;Asistente administrativo
Secretarios administrativos - Asistentes administrativos de registros financieros, de costos y salarios;Asistente administrativo
Secretarios administrativos - Asistentes de contabilidad;Asistente administrativo
Secretarios administrativos - Profesionales de nivel medio de servicios administrativos y afines;Asistente administrativo
Secretarios administrativos - Secretarios y secretarias;Recepción / Secretaria
Secretarios administrativos;Asistente administrativo
Secretarios y secretarias - Cajeros y cajeras;Recepción / Secretaria
Secretarios y secretarias - Secretarios administrativos;Recepción / Secretaria
Secretarios y secretarias;Recepción / Secretaria
Sociologos antropologos y afines - Trabajador y trabajadora social;Profesionales y Tecnicos
Soldadores y soldadoras oxicortadores y oxicortadoras - AlbaÃ±iles;Operarios y no Profesionales
Soldadores y soldadoras oxicortadores y oxicortadoras - Mecanicos y mecanicas de maquinas agricolas e industriales;Operarios y no Profesionales
Soldadores y soldadoras oxicortadores y oxicortadoras;Operarios y no Profesionales
Supervisores de la construccion - Otras ocupaciones;Asistente administrativo
Supervisores de la construccion;Asistente administrativo
Supervisores de tiendas y almacenes - Representantes comerciales y tecnicos de ventas;Asistente administrativo
Supervisores de tiendas y almacenes;Asistente administrativo
Tecnicos electronicos - Electricistas;Profesionales y Tecnicos
Tecnicos electronicos - Instaladores e instaladoras y reparadores de lineas electricas;Profesionales y Tecnicos
Tecnicos electronicos;Profesionales y Tecnicos
Tecnicos en electronica y telecomunicaciones - Electricistas;Profesionales y Tecnicos
Tecnicos en electronica y telecomunicaciones - Instaladores e instaladoras y reparadores de lineas electricas;Profesionales y Tecnicos
Tecnicos en electronica y telecomunicaciones - Operadores y operadoras de maquinas herramientas;Profesionales y Tecnicos
Tecnicos en electronica y telecomunicaciones - Tecnicos electronicos;Profesionales y Tecnicos
Tecnicos en electronica y telecomunicaciones - Tecnicos en programacion informatica;Profesionales y Tecnicos
Tecnicos en electronica y telecomunicaciones;Profesionales y Tecnicos
Tecnicos en ingenieria civil - Prevencionista de riesgo;Profesionales y Tecnicos
Tecnicos en ingenieria civil - Profesionales de las ciencias y de la ingenieria;Profesionales y Tecnicos
Tecnicos en ingenieria civil;Profesionales y Tecnicos
Tecnicos en ingenieria de minas y metalurgia - Mecanicos y ajustadores electricistas;Profesionales y Tecnicos
Tecnicos en mecanica y construccion mecanica - Mecanicos y mecanicas automotrices;Profesionales y Tecnicos
Tecnicos en mecanica y construccion mecanica;Profesionales y Tecnicos
Tecnicos en programacion informatica - Desarrolladores y analistas de sistemas informáticos;Informatica / Telecomunicaciones
Tecnicos en programacion informatica - Desarrolladores y analistas de sistemas informÃ¡ticos;Informatica / Telecomunicaciones
Tecnicos en programacion informatica - Ingenieros no clasificados;Informatica / Telecomunicaciones
Tecnicos en programacion informatica - Otras ocupaciones;Informatica / Telecomunicaciones
Tecnicos en programacion informatica - Profesionales de tecnologia de la informacion;Informatica / Telecomunicaciones
Tecnicos en programacion informatica;Informatica / Telecomunicaciones
Telefonistas - Empleados de servicios de informacion al cliente;Operarios y no Profesionales
Telefonistas - Secretarios administrativos;Recepción / Secretaria
Telefonistas - Vendedores y vendedoras a domicilio y por telefono;Operarios y no Profesionales
Telefonistas;Operarios y no Profesionales
Torneros - Tecnicos en mecanica y construccion mecanica;Operarios y no Profesionales
Torneros;Operarios y no Profesionales
Trabajador y trabajadora social - Otras ocupaciones;Recursos Humanos
Trabajador y trabajadora social - Trabajadores y asistentes sociales de nivel medio;Recursos Humanos
Trabajador y trabajadora social;Recursos Humanos
Trabajadores de explotaciones de acuicultura;Recursos Humanos
Trabajadores y asistentes sociales de nivel medio;Recursos Humanos
Trabajadores y trabajadoras agropecuarias y pesqueras de autoconsumo;Operarios y no Profesionales
Vendedores y vendedoras a domicilio y por telefono - Representantes comerciales y tecnicos de ventas;Ventas / Comercial
Vendedores y vendedoras a domicilio y por telefono - Vendedores y vendedoras ambulantes de productos no comestibles;Ventas / Comercial
Vendedores y vendedoras a domicilio y por telefono - Vendedores y vendedoras de tiendas y almacenes;Ventas / Comercial
Vendedores y vendedoras a domicilio y por telefono;Ventas / Comercial
Vendedores y vendedoras ambulantes de productos no comestibles - Vendedores y vendedoras de quioscos y de puestos de mercado;Ventas / Comercial
Vendedores y vendedoras de quioscos y de puestos de mercado;Ventas / Comercial
Vendedores y vendedoras de tiendas y almacenes - Empleados y empleadas de control de abastecimientos e inventario;Ventas / Comercial
Vendedores y vendedoras de tiendas y almacenes - Empleados y empleadas de servicios de apoyo a la produccion;Ventas / Comercial
Vendedores y vendedoras de tiendas y almacenes - Representantes comerciales y tecnicos de ventas;Ventas / Comercial
Vendedores y vendedoras de tiendas y almacenes - Vendedores y vendedoras a domicilio y por telefono;Ventas / Comercial
Vendedores y vendedoras de tiendas y almacenes;Ventas / Comercial
Veterinarios y veterinarias;Medicina / Salud
